"Start time
(EDT)";"Duration";"Run no.";"Run type";"Beam";"Beam energy";"Target";"Shifters";"Comments (given at start of run,
if not otherwise specified)";"Triggers" 
"2023-06-25
23:44:44";"0:05:30";"031";"RUN";"22Al";"30 keV";"C";LS, EJ, JSN, CW, HF;"EXTRA COMMENT 1.4 MINUTES INTO RUN
BY LS, EJ, JSN, CW, HF: trying to
optimise on the chemistry of the gas
cell. 22Al comes out with some
multiple of water molecules
attached. we go from 3 water
molecules to four and see if it
improves matters";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-25
23:50:31";"N/A";" ";" ";"-";"-";"-";LS, EJ, JSN, CW, HF;"IN-BETWEEN-RUN COMMENT: going from 4
water molecules to 5";" " 
"2023-06-25
23:54:04";"0:03:15";"032";"RUN";"22Al";"30 keV";"C";LS, EJ, JSN, CW, HF, LW, MM;"EXTRA COMMENT 0.3 MINUTES INTO RUN
BY LS, EJ, JSN, CW, HF, LW, MM:
scratch that. going from 4 water
molecules to 6";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-25
23:57:47";"N/A";" ";" ";"-";"-";"-";LS, EJ, JSN, CW, HF, LW, MM;"IN-BETWEEN-RUN COMMENT: trying
aluminum oxide now -- mass 38";" " 
"2023-06-25
23:58:01";"N/A";" ";" ";"-";"-";"-";LS, EJ, JSN, CW, HF, LW, MM;"IN-BETWEEN-RUN COMMENT: 'now' means
'in a minute'";"" 
"2023-06-26
00:00:37";"0:04:31";"033";"RUN";"22Al";"30 keV";"C";LS, EJ, JSN, CW, HF, LW, MM;"aluminum oxide
END-OF-RUN COMMENT BY
LS, EJ, JSN, CW, HF, LW, MM:
aluminum oxide";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
00:06:19";"N/A";" ";" ";"-";"-";"-";LS, EJ, JSN, CW, HF, LW, MM;"IN-BETWEEN-RUN COMMENT: trying with
'pure aluminum', mass 22, in a
minute";"" 
"2023-06-26
00:06:24";"0:00:15";"034";"RUN";"22Al";"30 keV";"C";LS, EJ, JSN, CW, HF, LW, MM;"END-OF-RUN COMMENT BY LS, EJ, JSN,
CW, HF, LW, MM: bad run";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
00:07:25";"0:01:19";"035";"RUN";"22Al";"30 keV";"C";LS, EJ, JSN, CW, HF, LW, MM;"trying with 'pure aluminum', mass
22, in a minute
END-OF-RUN COMMENT
BY LS, EJ, JSN, CW, HF, LW, MM:
trying with 'pure aluminum', mass
22, in a minute";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
00:11:22";"N/A";" ";" ";"-";"-";"-";LS, EJ, JSN, CW, HF, LW, MM;"IN-BETWEEN-RUN COMMENT: 22Al yields
were at its maximum with roughly 0.5
pps during [Al + 3 water molecules +
1 Hydrogen]. We switch to 21Mg for
the night -- we saw an estimated 500
pps previously. Will be good for
telescope and germanium
calibrations.";"" 
"2023-06-26
00:11:40";"0:02:36";"036";"RUN";"21Mg";"30 keV";"C";LS, EJ, JSN, CW, HF, LW, MM;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
00:14:23";"N/A";" ";" ";"-";"-";"-";LS, EJ, JSN, CW, HF, LW, MM;"IN-BETWEEN-RUN COMMENT: bad run";" " 
"2023-06-26
00:14:30";"7:23:03";"037";"RUN";"21Mg";"30 keV";"C";LS, EJ, JSN, CW, HF, LW, MM;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
